ppo_delay,fixed_delay,ppo_queue,fixed_queue,ppo_throughput,fixed_throughput,ppo_stops,fixed_stops,ppo_pressure,fixed_pressure
0.30533417564143644,0.9319934920184443,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0
0.35448609033033834,0.9243847580982237,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,1.0,1.0,1.0
0.32787655728411746,0.9198896525425141,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,1.0,1.0,1.0
0.31089815980475044,0.9150146088207093,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,1.0,1.0,1.0
0.27769855404081173,0.9105402856091596,0.14285714285714285,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,1.0
0.27428211189966906,0.9035692832524065,0.14285714285714285,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,1.0
0.29379543330894464,0.8964902591970143,0.14285714285714285,0.14285714285714285,1.0,0.0,0.5,1.0,1.0,1.0
0.25114071429718055,0.8882309985298316,0.14285714285714285,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,1.0
0.2530225066682883,0.8807723974282335,0.14285714285714285,0.14285714285714285,2.0,0.0,1.0,1.0,1.0,1.0
0.28422262033139917,0.8752054922424068,0.14285714285714285,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,1.0
0.23827574704128976,0.8691829886023823,0.14285714285714285,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,1.0
0.22018129343829718,0.8645608887496192,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,1.0,1.0,1.0
0.21542032273802272,0.8564427810165802,0.14285714285714285,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,1.0
0.2041289908930973,0.8487880834140964,0.14285714285714285,0.14285714285714285,1.0,0.0,0.5,1.0,1.0,1.0
0.21066350461482924,0.842161657443657,0.14285714285714285,0.14285714285714285,0.0,0.0,0.3333333333333333,1.0,1.0,1.0
0.3002580875241862,0.8359440586402053,0.2857142857142857,0.14285714285714285,0.0,0.0,0.6666666666666666,1.0,2.0,1.0
0.28797520076048677,0.8282582300667654,0.2857142857142857,0.14285714285714285,0.0,0.0,0.6666666666666666,1.0,2.0,1.0
0.2884481327512,0.8223182997803521,0.2857142857142857,0.14285714285714285,0.0,0.0,0.5,1.0,2.0,1.0
0.3120744885603334,0.8148287105881914,0.2857142857142857,0.14285714285714285,1.0,0.0,0.4,1.0,2.0,1.0
0.3392174182717862,0.8067685894568932,0.42857142857142855,0.14285714285714285,0.0,0.0,0.6,1.0,3.0,1.0
0.34489637823505626,0.8021265182663464,0.7142857142857143,0.14285714285714285,1.0,0.0,0.8333333333333334,1.0,5.0,1.0
0.3337588495635213,0.7938591989901483,0.7142857142857143,0.14285714285714285,0.0,0.0,0.8333333333333334,1.0,5.0,1.0
0.3585211235690143,0.7856023437375167,0.7142857142857143,0.14285714285714285,1.0,0.0,0.8333333333333334,1.0,5.0,1.0
0.44350946922205897,0.7786104580120567,0.5714285714285714,0.14285714285714285,0.0,0.0,0.5714285714285714,1.0,4.0,1.0
0.44738803415598205,0.7704490001973217,0.5714285714285714,0.14285714285714285,0.0,0.0,0.5714285714285714,1.0,4.0,1.0
0.45554792212797607,0.7632488060865046,0.5714285714285714,0.14285714285714285,1.0,0.0,0.6666666666666666,1.0,4.0,1.0
